partner,name,role,lat,lon,price,address,city,state,zip,phone,email,active
Alamon,New Bruanfels,Electrician,29.703,-98.1245,$105/hr,,New Bruanfels,TX,,406-885-9421,justin.pratt@alamon.com,TRUE
Alamon,Las Vegas,Electrician,36.1699,-115.1398,$105/hr,,Las Vegas,NV,,406-885-9421,justin.pratt@alamon.com,TRUE
Alamon,Chino,Electrician,34.0123,-117.6889,$105/hr,,Chino,CA,,406-885-9421,justin.pratt@alamon.com,TRUE
Alamon,Indianapolis,Technician,39.7684,-86.1581,$105/hr,,Indianapolis,IN,,406-885-9421,justin.pratt@alamon.com,TRUE
Alamon,Lenexa,Technician,38.9647,-94.7595,$105/hr,,Lenexa,KS,,406-885-9421,justin.pratt@alamon.com,TRUE
Alamon,Reno,Technician,39.5309,-119.8149,$105/hr,,Reno,NV,,406-885-9421,justin.pratt@alamon.com,TRUE
Alamon,San Antonio,Technician,29.4241,-98.4936,$105/hr,,San Antonio,TX,,406-885-9421,justin.pratt@alamon.com,TRUE
Alamon,Orlando,Technician,28.5383,-81.3792,$105/hr,,Orlando,FL,,406-885-9421,justin.pratt@alamon.com,TRUE
Alamon,Blakeslee Junction,Technician,46.7351,-122.9743,$105/hr,,Blakeslee Junction,WA,,406-885-9421,justin.pratt@alamon.com,TRUE
OWL, BIRMINGHAM,Technician   ,33.51995761,-86.81095726,$135/hr,723 19TH ST. NORTH, BIRMINGHAM,AL,35203,888-695-3872 ext 7500,emobility@larsonco.com,TRUE
OWL, CAMP HILL,Technician   ,32.77083254,-85.64612606,$135/hr,295 ROSS ROAD, CAMP HILL,AL,36850,888-695-3872 ext 7501,emobility@larsonco.com,TRUE
OWL, HUNTSVILLE,Technician   ,34.72829241,-86.58667683,$135/hr,308 FOUNTAIN CIR SW, HUNTSVILLE,AL,35801-4291,888-695-3872 ext 7502,emobility@larsonco.com,TRUE
OWL, MONTGOMERY,Technician   ,32.37968351,-86.30810386,$135/hr,145 N PERRY ST, MONTGOMERY,AL,36104,888-695-3872 ext 7503,emobility@larsonco.com,TRUE
OWL, LITTLE ROCK,Technician   ,34.74961699,-92.27575181,$135/hr,500 W MARKHAM ST, LITTLE ROCK,AR,72201,888-695-3872 ext 7504,emobility@larsonco.com,TRUE
OWL, SPRINGDALE,Technician   ,36.18979134,-94.12998564,$135/hr,201 SPRING ST, SPRINGDALE,AR,72764-4554,888-695-3872 ext 7505,emobility@larsonco.com,TRUE
OWL, PHOENIX,Technician   ,33.44911571,-112.0772655,$135/hr,200 W WASHINGTON ST, PHOENIX,AZ,85003,888-695-3872 ext 7506,emobility@larsonco.com,TRUE
OWL, TUCSON,Technician   ,32.22274552,-110.974511,$135/hr,255 WEST ALAMEDA, TUCSON,AZ,85701,888-695-3872 ext 7507,emobility@larsonco.com,TRUE
OWL, BAKERSFIELD,Technician   ,35.37372071,-119.0204774,$135/hr,1600 TRUXTUN AVE, BAKERSFIELD,CA,93301-5141,888-695-3872 ext 7508,emobility@larsonco.com,TRUE
OWL, HEMET,Technician   ,33.74740383,-116.9677408,$135/hr,445 E FLORIDA AVE, HEMET,CA,92543-4209,888-695-3872 ext 7509,emobility@larsonco.com,TRUE
OWL, MONTEBELLO,Technician   ,34.02032085,-118.116347,$135/hr,1600 W BEVERLY BLVD, MONTEBELLO,CA,90640-3932,888-695-3872 ext 7510,emobility@larsonco.com,TRUE
OWL, PASADENA,Technician   ,34.14788909,-118.14371,$135/hr,100 N GARFIELD AVE, PASADENA,CA,91101-1782,888-695-3872 ext 7511,emobility@larsonco.com,TRUE
OWL,  RIVERSIDE,Technician   ,33.98078872,-117.3756421,$135/hr,3900 MAIN ST,  RIVERSIDE,CA,92522-0001,888-695-3872 ext 7512,emobility@larsonco.com,TRUE
OWL, SACRAMENTO,Technician   ,38.58252146,-121.4933998,$135/hr,915 I ST, SACRAMENTO,CA,95814-2604,888-695-3872 ext 7513,emobility@larsonco.com,TRUE
OWL, BAKERSFIELD,Technician   ,35.43195149,-119.0726217,$135/hr,3023 UNICORN RD, BAKERSFIELD,CA,93308,888-695-3872 ext 7514,emobility@larsonco.com,TRUE
OWL, DENVER,Technician   ,39.73969182,-104.9847638,$135/hr,200 E COLFAX AVE, DENVER,CO,80203,888-695-3872 ext 7515,emobility@larsonco.com,TRUE
OWL, BLOOMFIELD,Technician   ,41.86095813,-72.73813842,$135/hr,155 HIGHLAND PARK DR, BLOOMFIELD,CT,6002,888-695-3872 ext 7516,emobility@larsonco.com,TRUE
OWL, DESTIN,Technician   ,30.39212569,-86.49700535,$135/hr,538 HWY 98  E, DESTIN,FL,32541-2328,888-695-3872 ext 7517,emobility@larsonco.com,TRUE
OWL, FORT MYERS,Technician   ,26.64069559,-81.86809428,$135/hr,2216 DR. MARTIN LUTHER KING BLVD, FORT MYERS,FL,33901,888-695-3872 ext 7518,emobility@larsonco.com,TRUE
OWL, JACKSONVILLE,Technician   ,30.30780746,-81.69790035,$135/hr,2875 PARK ST, JACKSONVILLE,FL,32205,888-695-3872 ext 7519,emobility@larsonco.com,TRUE
OWL, MIAMI,Technician   ,25.72782976,-80.23375539,$135/hr,3500 PAN AMERICAN DR, MIAMI,FL,33133,888-695-3872 ext 7520,emobility@larsonco.com,TRUE
OWL, ORLANDO,Electrician,28.53847585,-81.38017173,$135/hr,451 BOONE AVE, ORLANDO,FL,32801,888-695-3872 ext 7521,emobility@larsonco.com,TRUE
OWL, SARASOTA,Technician   ,27.33793557,-82.53890206,$135/hr,1565 1ST ST, SARASOTA,FL,34236-8501,888-695-3872 ext 7522,emobility@larsonco.com,TRUE
OWL, TAMPA,Technician   ,27.94731289,-82.45747323,$135/hr,306 E JACKSON ST, TAMPA,FL,33602,888-695-3872 ext 7523,emobility@larsonco.com,TRUE
OWL, FORT LAUDERDALE,Technician   ,26.14356751,-80.17096262,$135/hr,1420 NW 23RD AVE, FORT LAUDERDALE,FL,33311,888-695-3872 ext 7524,emobility@larsonco.com,TRUE
OWL, APOPKA,Technician   ,28.64345925,-81.46961299,$135/hr,2173 PLATINUM RD, APOPKA,FL,32703,888-695-3872 ext 7525,emobility@larsonco.com,TRUE
